Benchmark,no_prefetch_CPU0,no_prefetch_CPU1,no_prefetch_CPU2,no_prefetch_CPU3,no_prefetch_GeoMean,ip_noguard_CPU0,ip_noguard_CPU1,ip_noguard_CPU2,ip_noguard_CPU3,ip_noguard_GeoMean,ip_guard_CPU0,ip_guard_CPU1,ip_guard_CPU2,ip_guard_CPU3,ip_guard_GeoMean
605.mcf_s-472_605.mcf_s-484B_623.xalancbmk_s-325B_625.x264_s-18B,0.441665,0.288135,0.385075,0.699857,0.4303,0.455063,0.295677,0.385175,0.700383,0.4365,0.455239,0.29566,0.385214,0.700379,0.4365
605.mcf_s-472_605.mcf_s-484B_623.xalancbmk_s-325B_654.roms_s_294B,0.405106,0.263556,0.383082,0.532413,0.3841,0.41303,0.267258,0.382033,0.641312,0.4055,0.41295,0.267377,0.382186,0.641114,0.4056
605.mcf_s-472_605.mcf_s-484B_623.xalancbmk_s-325B_657.xz_s-56B,0.441978,0.288424,0.384903,0.798201,0.4449,0.456755,0.29669,0.385393,0.802598,0.4525,0.456736,0.296694,0.385313,0.802593,0.4525
605.mcf_s-472_605.mcf_s-484B_625.x264_s-18B_654.roms_s_294B,0.40743,0.265111,0.695667,0.540356,0.4489,0.418037,0.270488,0.696638,0.62075,0.4702,0.418273,0.270556,0.696942,0.620948,0.4704
605.mcf_s-472_605.mcf_s-484B_625.x264_s-18B_657.xz_s-56B,0.4461,0.291251,0.699922,0.799299,0.5192,0.459138,0.298585,0.701046,0.801579,0.5268,0.459147,0.298613,0.701085,0.801636,0.5269
605.mcf_s-472_605.mcf_s-484B_657.xz_s-56B_654.roms_s_294B,0.407838,0.265378,0.792304,0.541807,0.4643,0.418847,0.270635,0.803128,0.637047,0.4907,0.418891,0.270638,0.803095,0.636976,0.4907
605.mcf_s-472_623.xalancbmk_s-10B_623.xalancbmk_s-325B_625.x264_s-18B,0.437731,0.481961,0.384143,0.697675,0.4876,0.450858,0.480268,0.384159,0.698407,0.4909,0.451293,0.48232,0.384023,0.69828,0.4915
605.mcf_s-472_623.xalancbmk_s-10B_623.xalancbmk_s-325B_654.roms_s_294B,0.396984,0.227777,0.379001,0.495113,0.3609,0.407156,0.212761,0.378044,0.611961,0.3763,0.407376,0.212823,0.378407,0.613448,0.3766
605.mcf_s-472_623.xalancbmk_s-10B_623.xalancbmk_s-325B_657.xz_s-56B,0.438321,0.483355,0.384119,0.797625,0.5048,0.451995,0.479802,0.384149,0.798509,0.5079,0.452236,0.482051,0.384287,0.798517,0.5086
605.mcf_s-472_623.xalancbmk_s-10B_625.x264_s-18B_654.roms_s_294B,0.39945,0.23268,0.694898,0.503271,0.4246,0.411897,0.223604,0.695261,0.582745,0.4395,0.411946,0.223642,0.694969,0.583621,0.4397
605.mcf_s-472_623.xalancbmk_s-10B_625.x264_s-18B_657.xz_s-56B,0.443443,0.486288,0.700303,0.798488,0.5893,0.456371,0.484643,0.701278,0.798827,0.5933,0.456326,0.484505,0.701278,0.798812,0.5932
605.mcf_s-472_623.xalancbmk_s-10B_657.xz_s-56B_654.roms_s_294B,0.399797,0.234916,0.789955,0.50665,0.4403,0.413168,0.222956,0.799944,0.596541,0.4579,0.4131,0.222933,0.799955,0.596496,0.4579
605.mcf_s-472_623.xalancbmk_s-325B_625.x264_s-18B_654.roms_s_294B,0.413774,0.38239,0.69426,0.521374,0.4892,0.425179,0.382404,0.695256,0.633002,0.5172,0.425215,0.382148,0.695182,0.632467,0.517
605.mcf_s-472_623.xalancbmk_s-325B_625.x264_s-18B_657.xz_s-56B,0.45074,0.384815,0.698222,0.798485,0.5576,0.464482,0.385275,0.699091,0.800121,0.5625,0.464594,0.385174,0.699076,0.800112,0.5625
605.mcf_s-472_623.xalancbmk_s-325B_657.xz_s-56B_654.roms_s_294B,0.414071,0.382584,0.793545,0.522119,0.5062,0.426045,0.382203,0.800251,0.647141,0.5389,0.426049,0.382217,0.800246,0.647146,0.5389
605.mcf_s-472_625.x264_s-18B_657.xz_s-56B_654.roms_s_294B,0.416035,0.695871,0.793942,0.523991,0.5891,0.429929,0.696806,0.798077,0.631202,0.6233,0.429909,0.697003,0.798146,0.630911,0.6233
605.mcf_s-484B_623.xalancbmk_s-10B_623.xalancbmk_s-325B_625.x264_s-18B,0.285418,0.486153,0.384629,0.70009,0.4397,0.292698,0.483007,0.385202,0.700373,0.4419,0.292755,0.483229,0.384476,0.70038,0.4418
605.mcf_s-484B_623.xalancbmk_s-10B_623.xalancbmk_s-325B_654.roms_s_294B,0.257521,0.232379,0.379791,0.497401,0.3261,0.262177,0.213676,0.378477,0.620729,0.3387,0.262527,0.213442,0.378351,0.622101,0.3389
605.mcf_s-484B_623.xalancbmk_s-10B_623.xalancbmk_s-325B_657.xz_s-56B,0.28587,0.486728,0.384666,0.797697,0.4546,0.293536,0.484496,0.385308,0.798738,0.4574,0.293609,0.48452,0.384921,0.79873,0.4573
605.mcf_s-484B_623.xalancbmk_s-10B_625.x264_s-18B_654.roms_s_294B,0.259148,0.238428,0.695413,0.506078,0.384,0.264728,0.227462,0.69518,0.584847,0.3956,0.264744,0.227404,0.695124,0.585047,0.3956
605.mcf_s-484B_623.xalancbmk_s-10B_625.x264_s-18B_657.xz_s-56B,0.288455,0.490021,0.700439,0.798443,0.5302,0.296105,0.490059,0.700421,0.799017,0.5338,0.296129,0.489948,0.700449,0.799004,0.5338
605.mcf_s-484B_623.xalancbmk_s-10B_657.xz_s-56B_654.roms_s_294B,0.259609,0.240267,0.790493,0.507896,0.3978,0.266458,0.227258,0.800415,0.600238,0.413,0.266211,0.227064,0.800443,0.599798,0.4127
605.mcf_s-484B_623.xalancbmk_s-325B_625.x264_s-18B_654.roms_s_294B,0.26783,0.383356,0.696236,0.547153,0.4447,0.273418,0.383029,0.697059,0.623774,0.4619,0.273422,0.382336,0.697197,0.623729,0.4618
605.mcf_s-484B_623.xalancbmk_s-325B_625.x264_s-18B_657.xz_s-56B,0.294455,0.385998,0.700315,0.798468,0.5021,0.302877,0.386785,0.700655,0.800285,0.5063,0.302986,0.386489,0.700671,0.800341,0.5062
605.mcf_s-484B_623.xalancbmk_s-325B_657.xz_s-56B_654.roms_s_294B,0.268129,0.383248,0.793577,0.547876,0.4598,0.274478,0.382627,0.800875,0.635667,0.4809,0.274481,0.382457,0.800911,0.635709,0.4808
605.mcf_s-484B_625.x264_s-18B_657.xz_s-56B_654.roms_s_294B,0.26938,0.697069,0.794019,0.555188,0.5364,0.276496,0.697516,0.79826,0.624431,0.5568,0.276426,0.697858,0.798279,0.624385,0.5569
623.xalancbmk_s-10B_623.xalancbmk_s-325B_625.x264_s-18B_654.roms_s_294B,0.297285,0.383109,0.69482,0.515467,0.4494,0.282035,0.382361,0.695418,0.602219,0.461,0.283312,0.382408,0.695584,0.602172,0.4615
623.xalancbmk_s-10B_623.xalancbmk_s-325B_625.x264_s-18B_657.xz_s-56B,0.509691,0.385768,0.698354,0.798358,0.5754,0.510526,0.385762,0.698944,0.798841,0.5759,0.510296,0.385901,0.698957,0.79883,0.5758
623.xalancbmk_s-10B_623.xalancbmk_s-325B_657.xz_s-56B_654.roms_s_294B,0.302012,0.383531,0.793038,0.515916,0.4666,0.284661,0.38254,0.79789,0.612618,0.4803,0.285165,0.3824,0.797941,0.611937,0.4804
623.xalancbmk_s-10B_625.x264_s-18B_657.xz_s-56B_654.roms_s_294B,0.319278,0.694599,0.793676,0.519176,0.5498,0.30343,0.695686,0.795997,0.610128,0.5658,0.302931,0.695832,0.795997,0.609914,0.5656
623.xalancbmk_s-325B_625.x264_s-18B_657.xz_s-56B_654.roms_s_294B,0.383447,0.695441,0.795253,0.532484,0.5797,0.383132,0.696625,0.798144,0.64248,0.6082,0.383365,0.696609,0.798122,0.642474,0.6083
